city_id;province_id;type;name;postal_code
17;1;Kabupaten;Badung;80351
32;1;Kabupaten;Bangli;80619
94;1;Kabupaten;Buleleng;81111
114;1;Kota;Denpasar;80227
128;1;Kabupaten;Gianyar;80519
161;1;Kabupaten;Jembrana;82251
170;1;Kabupaten;Karangasem;80819
197;1;Kabupaten;Klungkung;80719
447;1;Kabupaten;Tabanan;82119
27;2;Kabupaten;Bangka;33212
28;2;Kabupaten;Bangka Barat;33315
29;2;Kabupaten;Bangka Selatan;33719
30;2;Kabupaten;Bangka Tengah;33613
56;2;Kabupaten;Belitung;33419
57;2;Kabupaten;Belitung Timur;33519
334;2;Kota;Pangkal Pinang;33115
106;3;Kota;Cilegon;42417
232;3;Kabupaten;Lebak;42319
331;3;Kabupaten;Pandeglang;42212
402;3;Kabupaten;Serang;42182
403;3;Kota;Serang;42111
455;3;Kabupaten;Tangerang;15914
456;3;Kota;Tangerang;15111
457;3;Kota;Tangerang Selatan;15435
62;4;Kota;Bengkulu;38229
63;4;Kabupaten;Bengkulu Selatan;38519
64;4;Kabupaten;Bengkulu Tengah;38319
65;4;Kabupaten;Bengkulu Utara;38619
175;4;Kabupaten;Kaur;38911
183;4;Kabupaten;Kepahiang;39319
233;4;Kabupaten;Lebong;39264
294;4;Kabupaten;Muko Muko;38715
379;4;Kabupaten;Rejang Lebong;39112
397;4;Kabupaten;Seluma;38811
39;5;Kabupaten;Bantul;55715
135;5;Kabupaten;Gunung Kidul;55812
210;5;Kabupaten;Kulon Progo;55611
419;5;Kabupaten;Sleman;55513
501;5;Kota;Yogyakarta;55111
151;6;Kota;Jakarta Barat;11220
152;6;Kota;Jakarta Pusat;10540
153;6;Kota;Jakarta Selatan;12230
154;6;Kota;Jakarta Timur;13330
155;6;Kota;Jakarta Utara;14140
189;6;Kabupaten;Kepulauan Seribu;14550
77;7;Kabupaten;Boalemo;96319
88;7;Kabupaten;Bone Bolango;96511
129;7;Kabupaten;Gorontalo;96218
130;7;Kota;Gorontalo;96115
131;7;Kabupaten;Gorontalo Utara;96611
361;7;Kabupaten;Pohuwato;96419
50;8;Kabupaten;Batang Hari;36613
97;8;Kabupaten;Bungo;37216
156;8;Kota;Jambi;36111
194;8;Kabupaten;Kerinci;37167
280;8;Kabupaten;Merangin;37319
293;8;Kabupaten;Muaro Jambi;36311
393;8;Kabupaten;Sarolangun;37419
442;8;Kota;Sungaipenuh;37113
460;8;Kabupaten;Tanjung Jabung Barat;36513
461;8;Kabupaten;Tanjung Jabung Timur;36719
471;8;Kabupaten;Tebo;37519
22;9;Kabupaten;Bandung;40311
23;9;Kota;Bandung;40111
24;9;Kabupaten;Bandung Barat;40721
34;9;Kota;Banjar;46311
54;9;Kabupaten;Bekasi;17837
55;9;Kota;Bekasi;17121
78;9;Kabupaten;Bogor;16911
79;9;Kota;Bogor;16119
103;9;Kabupaten;Ciamis;46211
104;9;Kabupaten;Cianjur;43217
107;9;Kota;Cimahi;40512
108;9;Kabupaten;Cirebon;45611
109;9;Kota;Cirebon;45116
115;9;Kota;Depok;16416
126;9;Kabupaten;Garut;44126
149;9;Kabupaten;Indramayu;45214
171;9;Kabupaten;Karawang;41311
211;9;Kabupaten;Kuningan;45511
252;9;Kabupaten;Majalengka;45412
332;9;Kabupaten;Pangandaran;46511
376;9;Kabupaten;Purwakarta;41119
428;9;Kabupaten;Subang;41215
430;9;Kabupaten;Sukabumi;43311
431;9;Kota;Sukabumi;43114
440;9;Kabupaten;Sumedang;45326
468;9;Kabupaten;Tasikmalaya;46411
469;9;Kota;Tasikmalaya;46116
37;10;Kabupaten;Banjarnegara;53419
41;10;Kabupaten;Banyumas;53114
49;10;Kabupaten;Batang;51211
76;10;Kabupaten;Blora;58219
91;10;Kabupaten;Boyolali;57312
92;10;Kabupaten;Brebes;52212
105;10;Kabupaten;Cilacap;53211
113;10;Kabupaten;Demak;59519
134;10;Kabupaten;Grobogan;58111
163;10;Kabupaten;Jepara;59419
169;10;Kabupaten;Karanganyar;57718
177;10;Kabupaten;Kebumen;54319
181;10;Kabupaten;Kendal;51314
196;10;Kabupaten;Klaten;57411
209;10;Kabupaten;Kudus;59311
249;10;Kabupaten;Magelang;56519
250;10;Kota;Magelang;56133
344;10;Kabupaten;Pati;59114
348;10;Kabupaten;Pekalongan;51161
349;10;Kota;Pekalongan;51122
352;10;Kabupaten;Pemalang;52319
375;10;Kabupaten;Purbalingga;53312
377;10;Kabupaten;Purworejo;54111
380;10;Kabupaten;Rembang;59219
386;10;Kota;Salatiga;50711
398;10;Kabupaten;Semarang;50511
399;10;Kota;Semarang;50135
427;10;Kabupaten;Sragen;57211
433;10;Kabupaten;Sukoharjo;57514
445;10;Kota;Surakarta (Solo);57113
472;10;Kabupaten;Tegal;52419
473;10;Kota;Tegal;52114
476;10;Kabupaten;Temanggung;56212
497;10;Kabupaten;Wonogiri;57619
498;10;Kabupaten;Wonosobo;56311
31;11;Kabupaten;Bangkalan;69118
42;11;Kabupaten;Banyuwangi;68416
51;11;Kota;Batu;65311
74;11;Kabupaten;Blitar;66171
75;11;Kota;Blitar;66124
80;11;Kabupaten;Bojonegoro;62119
86;11;Kabupaten;Bondowoso;68219
133;11;Kabupaten;Gresik;61115
160;11;Kabupaten;Jember;68113
164;11;Kabupaten;Jombang;61415
178;11;Kabupaten;Kediri;64184
179;11;Kota;Kediri;64125
222;11;Kabupaten;Lamongan;64125
243;11;Kabupaten;Lumajang;67319
247;11;Kabupaten;Madiun;63153
248;11;Kota;Madiun;63122
251;11;Kabupaten;Magetan;63314
255;11;Kabupaten;Malang;65163
256;11;Kota;Malang;65112
289;11;Kabupaten;Mojokerto;61382
290;11;Kota;Mojokerto;61316
305;11;Kabupaten;Nganjuk;64414
306;11;Kabupaten;Ngawi;63219
317;11;Kabupaten;Pacitan;63512
330;11;Kabupaten;Pamekasan;69319
342;11;Kabupaten;Pasuruan;67153
343;11;Kota;Pasuruan;67118
363;11;Kabupaten;Ponorogo;63411
369;11;Kabupaten;Probolinggo;67282
370;11;Kota;Probolinggo;67215
390;11;Kabupaten;Sampang;69219
409;11;Kabupaten;Sidoarjo;61219
418;11;Kabupaten;Situbondo;68316
441;11;Kabupaten;Sumenep;69413
444;11;Kota;Surabaya;60119
487;11;Kabupaten;Trenggalek;66312
489;11;Kabupaten;Tuban;62319
492;11;Kabupaten;Tulungagung;66212
61;12;Kabupaten;Bengkayang;79213
168;12;Kabupaten;Kapuas Hulu;78719
176;12;Kabupaten;Kayong Utara;78852
195;12;Kabupaten;Ketapang;78874
208;12;Kabupaten;Kubu Raya;78311
228;12;Kabupaten;Landak;78319
279;12;Kabupaten;Melawi;78619
364;12;Kabupaten;Pontianak;78971
365;12;Kota;Pontianak;78112
388;12;Kabupaten;Sambas;79453
391;12;Kabupaten;Sanggau;78557
395;12;Kabupaten;Sekadau;79583
415;12;Kota;Singkawang;79117
417;12;Kabupaten;Sintang;78619
18;13;Kabupaten;Balangan;71611
33;13;Kabupaten;Banjar;70619
35;13;Kota;Banjarbaru;70712
36;13;Kota;Banjarmasin;70117
43;13;Kabupaten;Barito Kuala;70511
143;13;Kabupaten;Hulu Sungai Selatan;71212
144;13;Kabupaten;Hulu Sungai Tengah;71313
145;13;Kabupaten;Hulu Sungai Utara;71419
203;13;Kabupaten;Kotabaru;72119
446;13;Kabupaten;Tabalong;71513
452;13;Kabupaten;Tanah Bumbu;72211
454;13;Kabupaten;Tanah Laut;70811
466;13;Kabupaten;Tapin;71119
44;14;Kabupaten;Barito Selatan;73711
45;14;Kabupaten;Barito Timur;73671
46;14;Kabupaten;Barito Utara;73881
136;14;Kabupaten;Gunung Mas;74511
167;14;Kabupaten;Kapuas;73583
174;14;Kabupaten;Katingan;74411
205;14;Kabupaten;Kotawaringin Barat;74119
206;14;Kabupaten;Kotawaringin Timur;74364
221;14;Kabupaten;Lamandau;74611
296;14;Kabupaten;Murung Raya;73911
326;14;Kota;Palangka Raya;73112
371;14;Kabupaten;Pulang Pisau;74811
405;14;Kabupaten;Seruyan;74211
432;14;Kabupaten;Sukamara;74712
19;15;Kota;Balikpapan;76111
66;15;Kabupaten;Berau;77311
89;15;Kota;Bontang;75313
214;15;Kabupaten;Kutai Barat;75711
215;15;Kabupaten;Kutai Kartanegara;75511
216;15;Kabupaten;Kutai Timur;75611
341;15;Kabupaten;Paser;76211
354;15;Kabupaten;Penajam Paser Utara;76311
387;15;Kota;Samarinda;75133
96;16;Kabupaten;Bulungan (Bulongan);77211
257;16;Kabupaten;Malinau;77511
311;16;Kabupaten;Nunukan;77421
450;16;Kabupaten;Tana Tidung;77611
467;16;Kota;Tarakan;77114
48;17;Kota;Batam;29413
71;17;Kabupaten;Bintan;29135
172;17;Kabupaten;Karimun;29611
184;17;Kabupaten;Kepulauan Anambas;29991
237;17;Kabupaten;Lingga;29811
302;17;Kabupaten;Natuna;29711
462;17;Kota;Tanjung Pinang;29111
21;18;Kota;Bandar Lampung;35139
223;18;Kabupaten;Lampung Barat;34814
224;18;Kabupaten;Lampung Selatan;35511
225;18;Kabupaten;Lampung Tengah;34212
226;18;Kabupaten;Lampung Timur;34319
227;18;Kabupaten;Lampung Utara;34516
282;18;Kabupaten;Mesuji;34911
283;18;Kota;Metro;34111
355;18;Kabupaten;Pesawaran;35312
356;18;Kabupaten;Pesisir Barat;35974
368;18;Kabupaten;Pringsewu;35719
458;18;Kabupaten;Tanggamus;35619
490;18;Kabupaten;Tulang Bawang;34613
491;18;Kabupaten;Tulang Bawang Barat;34419
496;18;Kabupaten;Way Kanan;34711
14;19;Kota;Ambon;97222
99;19;Kabupaten;Buru;97371
100;19;Kabupaten;Buru Selatan;97351
185;19;Kabupaten;Kepulauan Aru;97681
258;19;Kabupaten;Maluku Barat Daya;97451
259;19;Kabupaten;Maluku Tengah;97513
260;19;Kabupaten;Maluku Tenggara;97651
261;19;Kabupaten;Maluku Tenggara Barat;97465
400;19;Kabupaten;Seram Bagian Barat;97561
401;19;Kabupaten;Seram Bagian Timur;97581
488;19;Kota;Tual;97612
138;20;Kabupaten;Halmahera Barat;97757
139;20;Kabupaten;Halmahera Selatan;97911
140;20;Kabupaten;Halmahera Tengah;97853
141;20;Kabupaten;Halmahera Timur;97862
142;20;Kabupaten;Halmahera Utara;97762
191;20;Kabupaten;Kepulauan Sula;97995
372;20;Kabupaten;Pulau Morotai;97771
477;20;Kota;Ternate;97714
478;20;Kota;Tidore Kepulauan;97815
1;21;Kabupaten;Aceh Barat;23681
2;21;Kabupaten;Aceh Barat Daya;23764
3;21;Kabupaten;Aceh Besar;23951
4;21;Kabupaten;Aceh Jaya;23654
5;21;Kabupaten;Aceh Selatan;23719
6;21;Kabupaten;Aceh Singkil;24785
7;21;Kabupaten;Aceh Tamiang;24476
8;21;Kabupaten;Aceh Tengah;24511
9;21;Kabupaten;Aceh Tenggara;24611
10;21;Kabupaten;Aceh Timur;24454
11;21;Kabupaten;Aceh Utara;24382
20;21;Kota;Banda Aceh;23238
59;21;Kabupaten;Bener Meriah;24581
72;21;Kabupaten;Bireuen;24219
127;21;Kabupaten;Gayo Lues;24653
230;21;Kota;Langsa;24412
235;21;Kota;Lhokseumawe;24352
300;21;Kabupaten;Nagan Raya;23674
358;21;Kabupaten;Pidie;24116
359;21;Kabupaten;Pidie Jaya;24186
384;21;Kota;Sabang;23512
414;21;Kabupaten;Simeulue;23891
429;21;Kota;Subulussalam;24882
68;22;Kabupaten;Bima;84171
69;22;Kota;Bima;84139
118;22;Kabupaten;Dompu;84217
238;22;Kabupaten;Lombok Barat;83311
239;22;Kabupaten;Lombok Tengah;83511
240;22;Kabupaten;Lombok Timur;83612
241;22;Kabupaten;Lombok Utara;83711
276;22;Kota;Mataram;83131
438;22;Kabupaten;Sumbawa;84315
439;22;Kabupaten;Sumbawa Barat;84419
13;23;Kabupaten;Alor;85811
58;23;Kabupaten;Belu;85711
122;23;Kabupaten;Ende;86351
